iter	Passed	Remaining
509	4905918	4713529
510	4918613	4706853
511	4930658	4699534
512	4943221	4692688
513	4955977	4686001
514	4967648	4678271
515	4979903	4671072
516	4991886	4663599
517	5004952	4657118
518	5016952	4649622
519	5030222	4643282
520	5042869	4636342
521	5056030	4629851
522	5069280	4623416
523	5081860	4616346
524	5094649	4609444
525	5106705	4601859
526	5119124	4594584
527	5131520	4587268
528	5144023	4580028
529	5156405	4572661
530	5168674	4565175
531	5180428	4557218
532	5192874	4549854
533	5204877	4542083
534	5217611	4534933
535	5229388	4526932
536	5240742	4518554
537	5253113	4511037
538	5265301	4503347
539	5275961	4494337
540	5288532	4486943
541	5289133	4469415
542	5296320	4457492
543	5308597	4449853
544	5321614	4442816
545	5333708	4434988
546	5346200	4427475
547	5358393	4419696
548	5370763	4412047
549	5382721	4404045
550	5394762	4396095
551	5407351	4388575
552	5419303	4380522
553	5431986	4373043
554	5444102	4365091
555	5456695	4357504
556	5468598	4349352
557	5480818	4341436
558	5485070	4327219
559	5496502	4318680
560	5509343	4311232
561	5521559	4303279
562	5533992	4295478
563	5546813	4287961
564	5558560	4279599
565	5570518	4271387
566	5582271	4263004
567	5594713	4255134
568	5607477	4247491
569	5618802	4238745
570	5631828	4231269
571	5644430	4223455
572	5656572	4215282
573	5668772	4207138
574	5681246	4199181
575	5694454	4191751
576	5706770	4183646
577	5718189	4174872
578	5730375	4166645
579	5744102	4159522
580	5757357	4152035
581	5761303	4137843
582	5773706	4129735
583	5786382	4121806
584	5799045	4113852
585	5811713	4105886
586	5824192	4097771
587	5836872	4089781
588	5849108	4081466
589	5861088	4072959
590	5873041	4064422
591	5884953	4055846
592	5897103	4047421
593	5908934	4038766
594	5921180	4030383
595	5933049	4021731
596	5945614	4013538
597	5957773	4005058
598	5970333	3996834
599	5970560	3980373
600	5983522	3972421
601	5995938	3964092
602	6008808	3956048
603	6021563	3947912
604	6033957	3939526
605	6046276	3931077
606	6058659	3922657
607	6071003	3914199
608	6083041	3905532
609	6095257	3896967
610	6107491	3888403
611	6120094	3880059
612	6132319	3871464
613	6145073	3863189
614	6157446	3854661
615	6169787	3846101
616	6181969	3837430
617	6193798	3828529
618	6206332	3820052
619	6218810	3811529
620	6231148	3802907
621	6243003	3793979
622	6255348	3785339
623	6268083	3776922
624	6273269	3763961
625	6286043	3755559
626	6298473	3746938
627	6311268	3738522
628	6323280	3729629
629	6335407	3720795
630	6347414	3711879
631	6359798	3703173
632	6372240	3694490
633	6384463	3685668
634	6396570	3676768
635	6409715	3668453
636	6410719	3653204
637	6422723	3644240
638	6435293	3635588
639	6447360	3626640
640	6459715	3617844
641	6471859	3608918
642	6484120	3600048
643	6496394	3591174
644	6508712	3582314
645	6521023	3573440
646	6533337	3564556
647	6545685	3555681
648	6557640	3546582
649	6570180	3537789
650	6583087	3529182
651	6595156	3520114
652	6607465	3511164
653	6610236	3497158
654	6622834	3488363
655	6636070	3479890
656	6637452	3465214
657	6650363	3456572
658	6662893	3447718
659	6669365	3435733
660	6676562	3424137
661	6688362	3414904
662	6700368	3405767
663	6713071	3396976
664	6713161	3381818
665	6725575	3372886
666	6737777	3363837
667	6749862	3354721
668	6752908	3341125
669	6765774	3332396
670	6778599	3323635
671	6791726	3315009
672	6793003	3300612
673	6805514	3291688
674	6818681	3283068
675	6830526	3273802
676	6842424	3264554
677	6854785	3255517
678	6867332	3246559
679	6879518	3237420
680	6892834	3228802
681	6904952	3219611
682	6917653	3210682
683	6930292	3201714
684	6942694	3192625
685	6954501	3183255
686	6966997	3174192
687	6979529	3165135
688	6991903	3155997
689	7004287	3146853
690	7011692	3135474
691	7023552	3126090
692	7027086	3113009
693	7039213	3103745
694	7051866	3094704
695	7064827	3085786
696	7067095	3072209
697	7079700	3063137
698	7091962	3053906
699	7104220	3044665
700	7117158	3035706
701	7130263	3026807
702	7143162	3017808
703	7155355	3008501
704	7167865	2999319
705	7180329	2990108
706	7193711	2981269
707	7206353	2972111
708	7219255	2963051
709	7231950	2953895
710	7243882	2944419
711	7256302	2935133
712	7268437	2925724
713	7280320	2916206
714	7293084	2907033
715	7305713	2897796
716	7319009	2888814
717	7332661	2879959
718	7345972	2870957
719	7345979	2856769
720	7358183	2847341
721	7370792	2838061
722	7383090	2828652
723	7395883	2819425
724	7408390	2810079
725	7420719	2800657
726	7433043	2791225
727	7445350	2781779
728	7457385	2772224
729	7469677	2762757
730	7482458	2753462
731	7494350	2743833
732	7506953	2734456
733	7518825	2724805
734	7530386	2715037
735	7543506	2705822
736	7556458	2696538
737	7569411	2687243
738	7581086	2677487
739	7593345	2667932
740	7605780	2658430
741	7617518	2648678
742	7630191	2639245
743	7642264	2629596
744	7654749	2620082
745	7667022	2610487
746	7679283	2600881
747	7691774	2591346
748	7704091	2581745
749	7716299	2572099
750	7728744	2562526
751	7741305	2552983
752	7753340	2543260
753	7765720	2533643
754	7778027	2523995
755	7789849	2514184
756	7802857	2504748
757	7815171	2495081
758	7828019	2485576
759	7840747	2476025
760	7852930	2466294
761	7865624	2456717
762	7876897	2446690
763	7888257	2436686
764	7900857	2427060
765	7902849	2414186
766	7915853	2404685
767	7928568	2395088
768	7941335	2385498
769	7952543	2375434
770	7965737	2365958
771	7978322	2356292
772	7979353	2343225
773	7992256	2333656
774	8004714	2323949
775	8017193	2314241
776	8028712	2304250
777	8041641	2294658
778	8054063	2284914
779	8066747	2275236
780	8078809	2265376
781	8091503	2255687
782	8103795	2245879
783	8116082	2236063
784	8126260	2225663
785	8139574	2216118
786	8152033	2206331
787	8164900	2196648
788	8177326	2186838
789	8189689	2177006
790	8201912	2167129
791	8214448	2157329
792	8226609	2147425
793	8239214	2137629
794	8251336	2127703
795	8263753	2117846
796	8276037	2107949
797	8287925	2097946
798	8300284	2088056
799	8314164	2078541
800	8326979	2068750
801	8339384	2058850
802	8351100	2048775
803	8363452	2038851
804	8375748	2028907
805	8388524	2019074
806	8400818	2009117
807	8413467	1999239
808	8425681	1989252
809	8438640	1979434
810	8442502	1967488
811	8455485	1957674
812	8456196	1945029
813	8468806	1935132
814	8481619	1925275
815	8494038	1915322
816	8506698	1905417
817	8519832	1895610
818	8531938	1885568
819	8544399	1875599
820	8556911	1865635
821	8569932	1855776
822	8582741	1845863
823	8595529	1835938
824	8607723	1825880
825	8620160	1815869
826	8632282	1805785
827	8644627	1795743
828	8656834	1785667
829	8669325	1775644
830	8681576	1765567
831	8693988	1755516
832	8706042	1745389
833	8717689	1735175
834	8729817	1725053
835	8742520	1715039
836	8755583	1705089
837	8767735	1694956
838	8779489	1684741
839	8792333	1674730
840	8804875	1664655
841	8816747	1654449
842	8828598	1644234
843	8840857	1634092
844	8853252	1623969
845	8865786	1613866
846	8877710	1603647
847	8890362	1593555
848	8890584	1581246
849	8902853	1571091
850	8915869	1561062
851	8927958	1550865
852	8939726	1540609
853	8951942	1530425
854	8964879	1520359
855	8977292	1510198
856	8989536	1500004
857	9002263	1489885
858	9014485	1479676
859	9021422	1468603
860	9033967	1458445
861	9046149	1448223
862	9058997	1438102
863	9071223	1427877
864	9083764	1417697
865	9096107	1407480
866	9108509	1397268
867	9120875	1387045
868	9120957	1374965
869	9133242	1364737
870	9145592	1354513
871	9157719	1344252
872	9170429	1334071
873	9183199	1323893
874	9195534	1313647
875	9207963	1303410
876	9220191	1293139
877	9232337	1282853
878	9244672	1272588
879	9257162	1262340
880	9257302	1250418
881	9269407	1240124
882	9281830	1229868
883	9294339	1219619
884	9306644	1209337
885	9318341	1198973
886	9330966	1188725
887	9342738	1178363
888	9345399	1166860
889	9358641	1156686
890	9371104	1146408
891	9383414	1136108
892	9395941	1125829
893	9408288	1115524
894	9420691	1105220
895	9432893	1094889
896	9445095	1084553
897	9457372	1074222
898	9469913	1063916
899	9482444	1053604
900	9494921	1043282
901	9506863	1032896
902	9519185	1022548
903	9531150	1012157
904	9543336	1001786
905	9555165	991374
906	9567834	981045
907	9580063	970667
908	9592239	960279
909	9604686	949914
910	9616923	939523
911	9629629	929174
912	9641513	918742
913	9654117	908374
914	9666135	897947
915	9678678	887564
916	9691120	877167
917	9703403	866752
918	9704100	855312
919	9716390	844903
920	9728694	834491
921	9740977	824073
922	9753251	813651
923	9765394	803214
924	9778204	792827
925	9790569	782399
926	9802841	771960
927	9815839	761573
928	9827658	751091
929	9840055	740649
930	9852627	730216
931	9864364	719717
932	9877517	709317
933	9890626	698909
934	9903593	688485
935	9915958	678014
936	9927963	667515
937	9940848	657071
938	9953257	646590
939	9966000	636127
940	9978440	625640
941	9990918	615152
942	10002611	604611
943	10015571	594144
944	10026674	583563
945	10030225	572549
946	10042291	562029
947	10054806	551529
948	10067334	541026
949	10079602	530505
950	10091712	519972
951	10103405	509415
952	10115815	498891
953	10128204	488362
954	10140086	477805
955	10152848	467285
956	10165276	456747
957	10178066	446220
958	10190324	435665
959	10202970	425123
960	10215186	414560
961	10228091	404020
962	10241213	393483
963	10253678	382917
964	10267095	372381
965	10280464	361838
966	10290901	351188
967	10299914	340493
968	10309133	329807
969	10318079	319115
970	10327378	308438
971	10336543	297760
972	10345281	287073
973	10353959	276389
974	10362573	265707
975	10371015	255024
976	10380434	244370
977	10389474	233710
978	10398215	223046
979	10406423	212375
980	10414622	201710
981	10414945	190905
982	10423049	180256
983	10431254	169613
984	10439631	158979
985	10448043	148349
986	10452454	137671
987	10460433	127049
988	10468935	116439
989	10476895	105827
990	10485273	95224
991	10493914	84628
992	10501958	74031
993	10510158	63441
994	10518404	52856
995	10527023	42277
996	10535193	31700
997	10543297	21128
998	10551856	10562
999	10560196	0
